epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.9003333449363708,0.34563982486724854,0.9506666660308838,0.1811836212873459,0.0010000000474974513
1,0.9587963223457336,0.13702623546123505,0.9653333425521851,0.12921416759490967,0.0010000000474974513
2,0.9709629416465759,0.096064992249012,0.9683333039283752,0.11400600522756577,0.0010000000474974513
3,0.978592574596405,0.07221142947673798,0.9711666703224182,0.1066163033246994,0.0010000000474974513
4,0.9833889007568359,0.05614190548658371,0.9703333377838135,0.10564488917589188,0.0010000000474974513
5,0.9871110916137695,0.04514661058783531,0.9708333611488342,0.10479741543531418,0.0010000000474974513
6,0.9901852011680603,0.03580857813358307,0.9693333506584167,0.10423059016466141,0.0010000000474974513
7,0.99272221326828,0.028178980574011803,0.9691666960716248,0.10958820581436157,0.0010000000474974513
8,0.9944074153900146,0.022871095687150955,0.9725000262260437,0.10665413737297058,0.0010000000474974513
9,0.9954074025154114,0.017695292830467224,0.9778333306312561,0.09230439364910126,0.0005000000237487257
10,0.9975000023841858,0.01233593374490738,0.9769999980926514,0.09279636293649673,0.0005000000237487257
11,0.9983888864517212,0.009630387648940086,0.9771666526794434,0.09389178454875946,0.0005000000237487257
12,0.9988148212432861,0.007644388359040022,0.9768333435058594,0.09396468102931976,0.0002500000118743628
13,0.9991296529769897,0.006338086910545826,0.9769999980926514,0.09348297864198685,0.0002500000118743628
14,0.9993888735771179,0.005341626703739166,0.9768333435058594,0.09439495950937271,0.0001250000059371814
