model_name,test_accuracy,test_loss,total_params
Residual_CNN,0.9950000047683716,0.015713902190327644,325930
Regularized_CNN,0.9947999715805054,0.017350953072309494,469098
Augmented_CNN,0.9940000176429749,0.01871405728161335,476714
Deep_CNN,0.992900013923645,0.04102542996406555,132042
Depthwise_CNN,0.9927999973297119,0.5411723852157593,82314
functional,0.991599977016449,0.5297935009002686,66954
Simple_CNN,0.9915000200271606,0.028654180467128754,121930
Wide_CNN,0.9902999997138977,0.0363423228263855,6431626
Baseline_Dense,0.9781000018119812,0.07667961716651917,109386
