epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.9313148260116577,0.2385035753250122,0.9769999980926514,0.07927042990922928,0.0010000000474974513
1,0.9801852107048035,0.06451254338026047,0.9829999804496765,0.055068470537662506,0.0010000000474974513
2,0.9863518476486206,0.044866666197776794,0.9860000014305115,0.04735727608203888,0.0010000000474974513
3,0.9895555377006531,0.03396442160010338,0.9861666560173035,0.047233499586582184,0.0010000000474974513
4,0.9919074177742004,0.026878422126173973,0.9850000143051147,0.048257920891046524,0.0010000000474974513
5,0.9935185313224792,0.021412549540400505,0.9858333468437195,0.04705807566642761,0.0010000000474974513
6,0.9947222471237183,0.01780395209789276,0.9858333468437195,0.04720744490623474,0.0010000000474974513
7,0.9951666593551636,0.015542741864919662,0.987333357334137,0.049641821533441544,0.0010000000474974513
8,0.996999979019165,0.009957116097211838,0.9884999990463257,0.04142436385154724,0.0005000000237487257
9,0.9986110925674438,0.006093793548643589,0.9891666769981384,0.03938445821404457,0.0005000000237487257
10,0.9992592334747314,0.0042112753726542,0.9894999861717224,0.03974287584424019,0.0005000000237487257
11,0.9994999766349792,0.0030982482712715864,0.9896666407585144,0.04218849539756775,0.0005000000237487257
12,0.9994074106216431,0.0027770339511334896,0.9894999861717224,0.04200763255357742,0.0002500000118743628
13,0.999740719795227,0.001903326134197414,0.9900000095367432,0.04193186014890671,0.0002500000118743628
14,0.9999074339866638,0.001262437435798347,0.9904999732971191,0.04278901219367981,0.0001250000059371814
