epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.8387222290039062,0.5092385411262512,0.8043333292007446,0.6281538605690002,0.0010000000474974513
1,0.9484815001487732,0.16617892682552338,0.9763333201408386,0.07638708502054214,0.0010000000474974513
2,0.9612963199615479,0.1283463090658188,0.9754999876022339,0.08007406443357468,0.0010000000474974513
3,0.9675370454788208,0.10491125285625458,0.9781666398048401,0.06628358364105225,0.0010000000474974513
4,0.971833348274231,0.09301255643367767,0.9761666655540466,0.08228034526109695,0.0010000000474974513
5,0.9737777709960938,0.08469005674123764,0.9796666502952576,0.06738955527544022,0.0010000000474974513
6,0.9793888926506042,0.06745507568120956,0.9913333058357239,0.029737625271081924,0.0005000000237487257
7,0.9803518652915955,0.06438722461462021,0.9898333549499512,0.03034018911421299,0.0005000000237487257
8,0.98159259557724,0.059739306569099426,0.9916666746139526,0.031005416065454483,0.0005000000237487257
9,0.9831851720809937,0.055716075003147125,0.9901666641235352,0.030663762241601944,0.0002500000118743628
10,0.9845185279846191,0.05014084652066231,0.9908333420753479,0.030100718140602112,0.0002500000118743628
11,0.9848703742027283,0.04885154962539673,0.9921666383743286,0.026833079755306244,0.0001250000059371814
12,0.9857777953147888,0.0470808707177639,0.9921666383743286,0.025659607723355293,0.0001250000059371814
13,0.9867222309112549,0.04298670217394829,0.9928333163261414,0.025153575465083122,0.0001250000059371814
14,0.9862962961196899,0.044444646686315536,0.9909999966621399,0.02638125605881214,0.0001250000059371814
15,0.9872037172317505,0.04334469884634018,0.9921666383743286,0.02413088269531727,0.0001250000059371814
16,0.9870185256004333,0.04205236956477165,0.9903333187103271,0.03152346983551979,0.0001250000059371814
17,0.9885370135307312,0.03913091495633125,0.9918333292007446,0.02386888861656189,0.0001250000059371814
18,0.9867777824401855,0.04338790848851204,0.9931666851043701,0.023822512477636337,0.0001250000059371814
19,0.9876296520233154,0.04045018181204796,0.9921666383743286,0.022674458101391792,0.0001250000059371814
