epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.6650370359420776,1.3309712409973145,0.2981666624546051,1.9858020544052124,0.0010000000474974513
1,0.9200000166893005,0.8073204755783081,0.968833327293396,0.6385157704353333,0.0010000000474974513
2,0.94862961769104,0.7313054203987122,0.968500018119812,0.6177459359169006,0.0010000000474974513
3,0.9593148231506348,0.701297402381897,0.9751666784286499,0.6133480072021484,0.0010000000474974513
4,0.9645000100135803,0.6812891960144043,0.9779999852180481,0.5900829434394836,0.0010000000474974513
5,0.9703888893127441,0.6647710800170898,0.9796666502952576,0.5922882556915283,0.0010000000474974513
6,0.9720185399055481,0.6569530963897705,0.9831666946411133,0.5716423988342285,0.0010000000474974513
7,0.9752407670021057,0.6458080410957336,0.98416668176651,0.5774996876716614,0.0010000000474974513
8,0.9761481285095215,0.6390869617462158,0.9825000166893005,0.567258894443512,0.0010000000474974513
9,0.9782222509384155,0.6315078735351562,0.9831666946411133,0.5641878247261047,0.0010000000474974513
10,0.9788888692855835,0.6281341314315796,0.9848333597183228,0.5542399287223816,0.0010000000474974513
11,0.9809259176254272,0.621518611907959,0.981333315372467,0.5735456347465515,0.0010000000474974513
12,0.9817407131195068,0.618448793888092,0.987666666507721,0.5537391901016235,0.0010000000474974513
13,0.9820555448532104,0.6138443946838379,0.9879999756813049,0.5469024777412415,0.0010000000474974513
14,0.9821110963821411,0.6119573712348938,0.9836666584014893,0.561866283416748,0.0010000000474974513
15,0.9840185046195984,0.6070417165756226,0.9891666769981384,0.5473836660385132,0.0010000000474974513
16,0.9844444394111633,0.6005612015724182,0.9893333315849304,0.5360156893730164,0.0005000000237487257
17,0.9858888983726501,0.5970612168312073,0.9909999966621399,0.5342043042182922,0.0005000000237487257
18,0.9864259362220764,0.5956288576126099,0.9911666512489319,0.5320926308631897,0.0005000000237487257
19,0.9863703846931458,0.5951023101806641,0.9901666641235352,0.5344347953796387,0.0005000000237487257
