epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.8770370483398438,0.41428324580192566,0.3610000014305115,2.4091219902038574,0.0005000000237487257
1,0.9768333435058594,0.08124009519815445,0.9661666750907898,0.11629127711057663,0.0005000000237487257
2,0.9845185279846191,0.05550013482570648,0.9791666865348816,0.07588963955640793,0.0005000000237487257
3,0.9866296052932739,0.04671555012464523,0.9821666479110718,0.0628223866224289,0.0005000000237487257
4,0.9884999990463257,0.0391872376203537,0.9595000147819519,0.12259626388549805,0.0005000000237487257
5,0.9896666407585144,0.034205593168735504,0.984666645526886,0.056169215589761734,0.0005000000237487257
6,0.9907777905464172,0.031162025406956673,0.9868333339691162,0.0512801818549633,0.0005000000237487257
7,0.9916296005249023,0.02757580578327179,0.9674999713897705,0.11327102780342102,0.0005000000237487257
8,0.992388904094696,0.025519829243421555,0.9769999980926514,0.07925274223089218,0.0005000000237487257
9,0.9938148260116577,0.019759805873036385,0.9898333549499512,0.03626507893204689,0.0002500000118743628
10,0.9948333501815796,0.017230181023478508,0.9904999732971191,0.03497539088129997,0.0002500000118743628
11,0.9948889017105103,0.016248349100351334,0.9911666512489319,0.033763960003852844,0.0002500000118743628
12,0.9952037334442139,0.016159722581505775,0.9901666641235352,0.038248203694820404,0.0002500000118743628
13,0.9952407479286194,0.01488936971873045,0.9938333630561829,0.02776259556412697,0.0002500000118743628
14,0.9961666464805603,0.012913458049297333,0.9921666383743286,0.031820762902498245,0.0002500000118743628
15,0.9958333373069763,0.01324392668902874,0.987333357334137,0.054821040481328964,0.0002500000118743628
16,0.9964814782142639,0.010786416940391064,0.9934999942779541,0.026639631018042564,0.0001250000059371814
17,0.9969444274902344,0.0092803705483675,0.9933333396911621,0.029055297374725342,0.0001250000059371814
18,0.9975185394287109,0.008247751742601395,0.9934999942779541,0.02523915283381939,0.0001250000059371814
19,0.9974814653396606,0.008680115453898907,0.9938333630561829,0.028591854497790337,0.0001250000059371814
