epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.9284629821777344,0.32885828614234924,0.156333327293396,3.541124105453491,0.0005000000237487257
1,0.9804074168205261,0.09675595164299011,0.9804999828338623,0.08840306848287582,0.0005000000237487257
2,0.9861481189727783,0.07106626778841019,0.9803333282470703,0.08760330080986023,0.0005000000237487257
3,0.9892407655715942,0.05897888168692589,0.9831666946411133,0.07545948028564453,0.0005000000237487257
4,0.9915740489959717,0.050857823342084885,0.9886666536331177,0.06212379410862923,0.0005000000237487257
5,0.9925000071525574,0.045836191624403,0.9869999885559082,0.06858470290899277,0.0005000000237487257
6,0.9941111207008362,0.04070723429322243,0.984666645526886,0.07494878023862839,0.0005000000237487257
7,0.9963889122009277,0.03242442011833191,0.9911666512489319,0.04996323212981224,0.0002500000118743628
8,0.9977962970733643,0.028192711994051933,0.9919999837875366,0.04867146164178848,0.0002500000118743628
9,0.9984259009361267,0.025784404948353767,0.9901666641235352,0.054811954498291016,0.0002500000118743628
10,0.9981666803359985,0.025534842163324356,0.9900000095367432,0.04931744560599327,0.0002500000118743628
11,0.9992407560348511,0.021680761128664017,0.9913333058357239,0.0488288477063179,0.0001250000059371814
12,0.9995370507240295,0.020171163603663445,0.9923333525657654,0.044857457280159,0.0001250000059371814
13,0.999666690826416,0.01919422671198845,0.9915000200271606,0.04889407008886337,0.0001250000059371814
14,0.9996481537818909,0.018718289211392403,0.9915000200271606,0.04773132875561714,0.0001250000059371814
