epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.9294999837875366,0.2813977897167206,0.9761666655540466,0.30247199535369873,0.0010000000474974513
1,0.9749814867973328,0.08279857784509659,0.9819999933242798,0.06151745468378067,0.0010000000474974513
2,0.9807222485542297,0.06245674565434456,0.9861666560173035,0.057814065366983414,0.0010000000474974513
3,0.9844629764556885,0.05057361721992493,0.984000027179718,0.06475503742694855,0.0010000000474974513
4,0.9864073991775513,0.04247136041522026,0.9869999885559082,0.05789807066321373,0.0010000000474974513
5,0.9913333058357239,0.027205126360058784,0.9888333082199097,0.05182821676135063,0.0005000000237487257
6,0.9935185313224792,0.020925801247358322,0.987666666507721,0.05199245736002922,0.0005000000237487257
7,0.994518518447876,0.017275212332606316,0.9888333082199097,0.05695759132504463,0.0005000000237487257
8,0.9957592487335205,0.013157903216779232,0.9898333549499512,0.05275079235434532,0.0002500000118743628
9,0.9965741038322449,0.009556892327964306,0.9898333549499512,0.057188037782907486,0.0002500000118743628
