epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.9339444637298584,0.21823838353157043,0.856333315372467,0.4357694387435913,0.0010000000474974513
1,0.97901850938797,0.06858929991722107,0.9819999933242798,0.058153390884399414,0.0010000000474974513
2,0.98416668176651,0.05156844109296799,0.9869999885559082,0.03990567848086357,0.0010000000474974513
3,0.9866111278533936,0.0430111363530159,0.9891666769981384,0.03664989024400711,0.0010000000474974513
4,0.9892963171005249,0.03563506901264191,0.9898333549499512,0.03424874693155289,0.0010000000474974513
5,0.9893147945404053,0.03202245011925697,0.9915000200271606,0.03127995878458023,0.0010000000474974513
6,0.9911296367645264,0.02803608775138855,0.9901666641235352,0.036167729645967484,0.0010000000474974513
7,0.9915740489959717,0.02639499492943287,0.9904999732971191,0.034211207181215286,0.0010000000474974513
8,0.994185209274292,0.018651343882083893,0.9931666851043701,0.02620025724172592,0.0005000000237487257
9,0.9947592616081238,0.01610589772462845,0.9926666617393494,0.029951291158795357,0.0005000000237487257
10,0.9952592849731445,0.015235412865877151,0.9926666617393494,0.025667153298854828,0.0005000000237487257
11,0.995722234249115,0.013157736510038376,0.9915000200271606,0.027794362977147102,0.0005000000237487257
12,0.9955925941467285,0.012591825798153877,0.9938333630561829,0.024433165788650513,0.0005000000237487257
13,0.9958333373069763,0.012927780859172344,0.9918333292007446,0.03238581866025925,0.0005000000237487257
14,0.9959999918937683,0.011712545529007912,0.9941666722297668,0.02618267387151718,0.0005000000237487257
